dataset,mass_GeV,sigma_val,blind_lo,blind_hi,integral_density,density_nsigma,density_window_lo,density_window_hi,density_window_width,density_source_lo,density_source_hi,density_source_n_bins,density_source_bin_width_median,density_window_fully_covered,A_up,eps2_up,p0_analytic,Z_analytic,A_hat,sigma_A,extract_success,cls_statistic,cls_calibration,signal_model,global_method,visibility,kernel_str,ls_lo,ls_hi,ls_init,ls_opt,sigma_x,const_opt,lml,n_train,n_train_low,n_train_high,n_full,n_blind,train_domain_lo,train_domain_hi,bin_width_median,const_init,const_lo,const_hi,const_at_lower,const_at_upper,ls_at_lower,ls_at_upper,optimizer_restarts,ls_lo_over_sigma_x,ls_hi_over_sigma_x,ls_opt_over_sigma_x,ls_lo_over_sigma,ls_hi_over_sigma,ls_opt_over_sigma
2015,0.019,0.0009189342902331,0.016932397846975526,0.021067602153024473,282453695.05657667,1.64,0.017492947764017715,0.020507052235982284,0.003014104471964568,0.0,0.15,3000,4.999999999999796e-05,True,2489.874308842769,9.09102787466516e-06,0.5,0.0,-8664.910552871963,2700.1172984252876,True,tilde_q_mu,asymptotic,default,sidak_approx,observed,7.06**2 * RBF(length_scale=0.363),0.04723177207257301,0.37785417658058407,0.13359162527989507,0.36262815141678784,0.04723177207257301,49.78335202286317,1136.0402569831065,468,12,456,484,16,0.014,0.135,0.0002500000000000002,1.0,1e-08,1e+18,False,False,False,False,12,1.0,8.0,7.677631719165629,51.39842160051731,411.1873728041385,394.6181519951795
2015,0.02,0.0009721533740987999,0.0178126549082777,0.0221873450917223,379153831.1551498,1.64,0.018405668466477967,0.021594331533522033,0.003188663067044066,0.0,0.15,3000,4.999999999999796e-05,True,5128.032616259652,1.3250789695133211e-05,0.4833771142044097,0.04167945983309716,111.17893368311616,3071.6887279799316,True,tilde_q_mu,asymptotic,default,sidak_approx,observed,7.11**2 * RBF(length_scale=0.363),0.04746325440910715,0.3797060352728572,0.13424635619944786,0.36306703435883525,0.04746325440910715,50.585627538517066,1125.6426353221723,466,15,451,484,18,0.014,0.135,0.0002500000000000002,1.0,1e-08,1e+18,False,False,False,False,12,1.0,8.0,7.649434049115071,48.82280478952847,390.58243831622775,373.4668253303174
2015,0.021,0.0010253724579645,0.018692911969579878,0.023307088030420125,472707141.1161992,1.64,0.019318389168938223,0.02268161083106178,0.003363221662123557,0.0,0.15,3000,4.999999999999796e-05,True,13320.834749580437,2.629398492774368e-05,0.005941099801985788,2.5156236287225813,8816.110373455085,3505.069972111853,True,tilde_q_mu,asymptotic,default,sidak_approx,observed,6.93**2 * RBF(length_scale=0.359),0.04767264464661913,0.38138115717295307,0.13483860122688382,0.3589893040391492,0.04767264464661913,47.9656534165102,1120.2755873412684,466,19,447,484,18,0.014,0.135,0.0002500000000000002,1.0,1e-08,1e+18,False,False,False,False,12,1.0,8.0,7.530299749472953,46.49300288526926,371.9440230821541,350.1062479791884
2015,0.022,0.0010785915418301997,0.01957316903088205,0.02442683096911795,557319166.6376408,1.64,0.02023110987139847,0.023768890128601526,0.0035377802572030548,0.0,0.15,3000,4.999999999999796e-05,True,10543.456074240232,1.6849722778578102e-05,0.07703870942993683,1.425276055387568,5429.141566897248,3835.3729374880186,True,tilde_q_mu,asymptotic,default,sidak_approx,observed,6.87**2 * RBF(length_scale=0.364),0.0478629613687942,0.3829036909503536,0.13537689820617654,0.3638067429553544,0.0478629613687942,47.158064741592064,1110.6608249000587,464,22,442,484,20,0.014,0.135,0.0002500000000000002,1.0,1e-08,1e+18,False,False,False,False,12,1.0,8.0,7.601007805433242,44.37542805831604,355.0034244665283,337.2979750407015
2015,0.023,0.0011318106256958998,0.020453426092184226,0.025546573907815773,630016895.0561807,1.64,0.021143830573858723,0.024856169426141276,0.0037123388522825526,0.0,0.15,3000,4.999999999999796e-05,True,4950.733127188094,6.694619694458033e-06,0.5,0.0,-5168.313599371259,4163.8871888669355,True,tilde_q_mu,asymptotic,default,sidak_approx,observed,6.82**2 * RBF(length_scale=0.35),0.048036697183463595,0.38429357746770876,0.13586829729692734,0.35020633447603955,0.048036697183463595,46.55558049397837,1107.0416203525954,464,26,438,484,20,0.014,0.135,0.0002500000000000002,1.0,1e-08,1e+18,False,False,False,False,12,1.0,8.0,7.290391617444432,42.44234511752173,339.53876094017386,309.42131706946407
2015,0.024,0.0011850297095615998,0.0213336831534864,0.0266663168465136,691123382.2635775,1.64,0.022056551276318975,0.025943448723681026,0.0038868974473620505,0.0,0.15,3000,4.999999999999796e-05,True,5098.294669819139,6.022745777643124e-06,0.5,0.0,-7311.664940418945,4560.9861986238775,True,tilde_q_mu,asymptotic,default,sidak_approx,observed,6.83**2 * RBF(length_scale=0.348),0.04819592850200394,0.3855674280160315,0.13631867147739596,0.3484289370030476,0.04819592850200394,46.60283339865349,1097.6890328535821,462,29,433,484,22,0.014,0.135,0.0002500000000000002,1.0,1e-08,1e+18,False,False,False,False,12,1.0,8.0,7.22942679667558,40.670649953437845,325.36519962750276,294.02548661159597
2015,0.025,0.0012382487934273,0.022213940214788577,0.027786059785211425,738967301.358607,1.64,0.02296927197877923,0.027030728021220772,0.004061456042441541,0.0,0.15,3000,4.999999999999796e-05,True,6681.517976134941,7.086737358206866e-06,0.5,0.0,-1769.583473756512,4610.383079204971,True,tilde_q_mu,asymptotic,default,sidak_approx,observed,7.11**2 * RBF(length_scale=0.357),0.0483423989252425,0.38673919140194,0.13673295239545696,0.35671566523771253,0.0483423989252425,50.581432526157215,1098.3909832149186,462,33,429,484,22,0.014,0.135,0.0002500000000000002,1.0,1e-08,1e+18,False,False,False,False,12,1.0,8.0,7.378940085065775,39.04094167654102,312.32753341232814,288.08076949574354
2015,0.026,0.0012914678772929999,0.023094197276090748,0.02890580272390925,775313630.7800946,1.64,0.02388199268123948,0.02811800731876052,0.004236014637521039,0.0,0.15,3000,4.999999999999796e-05,True,8749.516552275622,8.504909889513376e-06,0.3834249127734906,0.2964979588308081,1396.8785911119326,4762.495568655809,True,tilde_q_mu,asymptotic,default,sidak_approx,observed,7.27**2 * RBF(length_scale=0.36),0.04847758335384933,0.38782066683079464,0.13711531170017183,0.3602766417521963,0.04847758335384933,52.90092088003931,1088.5043978500817,460,36,424,484,24,0.014,0.135,0.0002500000000000002,1.0,1e-08,1e+18,False,False,False,False,12,1.0,8.0,7.43181934467426,37.53680924334059,300.29447394672474,278.96678507200613
2015,0.027,0.0013446869611586998,0.023974454337392925,0.030025545662607074,800922607.8622017,1.64,0.02479471338369973,0.029205286616300268,0.004410573232600537,0.0,0.15,3000,4.999999999999796e-05,True,8521.174211035206,7.72114225852438e-06,0.44359519548827453,0.14186025206757646,695.0597684558195,4913.6831115920295,True,tilde_q_mu,asymptotic,default,sidak_approx,observed,7.14**2 * RBF(length_scale=0.355),0.048602737828741915,0.3888219026299353,0.13746930201174137,0.35452354569078837,0.048602737828741915,50.95571550246497,1087.0730711256247,460,40,420,484,24,0.014,0.135,0.0002500000000000002,1.0,1e-08,1e+18,False,False,False,False,12,1.0,8.0,7.294312245124921,36.144276870849964,289.1542149667997,263.6476413702263
2015,0.028,0.0013979060450244,0.0248547113986951,0.031145288601304902,816392166.0291471,1.64,0.025707434086159983,0.030292565913840018,0.004585131827680035,0.0,0.15,3000,4.999999999999796e-05,True,8781.94029694347,7.527834232859607e-06,0.47155334047038944,0.0713657332649584,495.4143943120824,5130.979465227522,True,tilde_q_mu,asymptotic,default,sidak_approx,observed,7.06**2 * RBF(length_scale=0.354),0.048718938674602974,0.3897515093968238,0.13779796763609325,0.35363248969299743,0.048718938674602974,49.80756541115334,1077.8999409136418,458,43,415,484,26,0.014,0.135,0.0002500000000000002,1.0,1e-08,1e+18,False,False,False,False,12,1.0,8.0,7.25862466042071,34.85136847931193,278.81094783449544,252.9730026933426
