dataset_set,mass_GeV,sigma_mass_res_GeV,sigma_mass_res_min_GeV,cls_alpha,eps2_obs,p0_analytic,Z_analytic,eps2_lo2,eps2_lo1,eps2_med,eps2_hi1,eps2_hi2,eps2_mean,ul_eps2_obs,toy_eps2_uls_q02,toy_eps2_uls_q16,toy_eps2_uls_q50,toy_eps2_uls_q84,toy_eps2_uls_q97,toy_eps2_uls_mean,p_strong,p_weak,p_two,tail_count_strong_le_observed,tail_count_weak_ge_observed,tail_count_equal_observed,tail_count_two_sided_min,empirical_tail_resolution,meta,cls_statistic,cls_calibration,combined_mode,global_method,bands_refit_gp_on_toy,bands_train_exclude_nsigma,bands_refit_restarts,bands_refit_optimize,bands_seed_sequence_index,n_toys_requested,n_toys_finite,gp_lml_by_dataset,gp_ls_opt_by_dataset,gp_const_opt_by_dataset,gp_state_sha256_by_dataset,observed_gp_fit_mode,observed_gp_optimizer_restarts,limit_solver,profile_cache_limit_calls,profile_cache_asimov_fixed_nodes,profile_cache_asimov_fixed_hits,profile_cache_asimov_fixed_misses
2015,0.019,0.0009189342902331,0.0009189342902331,0.1,9.091092361019903e-06,0.5,0.0,1.0202603001234782e-05,1.222708964395181e-05,1.6270867761563125e-05,2.3355051959179803e-05,3.3551701790239295e-05,1.7733620329118284e-05,9.091092361019903e-06,1.0202603001234782e-05,1.222708964395181e-05,1.6270867761563125e-05,2.3355051959179803e-05,3.3551701790239295e-05,1.7733620329118284e-05,0.0033333333333333335,0.9966666666666667,0.006666666666666667,1,299,0,1,0.0033333333333333335,"[{""const_opt"": 49.77651343832814, ""dens"": 282453695.05657667, ""key"": ""2015"", ""lml"": 1136.0402568150648, ""lml_delta"": -2.847757514246041e-07, ""ls_opt"": 0.3626237023895018, ""reviewed_lml"": 1136.0402570998406, ""sigma"": 0.0009189342902331, ""state_sha256"": ""e909a220efc26c8fe70dd4d638bab27f5914adeec07510ade7665d69253917c9""}]",tilde_q_mu,asymptotic,count_scale,sidak_approx,False,2.25,0,False,0,300,300,"{""2015"": 1136.0402568150648}","{""2015"": 0.3626237023895018}","{""2015"": 49.77651343832814}","{""2015"": ""e909a220efc26c8fe70dd4d638bab27f5914adeec07510ade7665d69253917c9""}",fixed_reviewed_max_lml,0,campaign_local_deterministic_profile_cache_v1,301,3805,3063,3805
2015,0.02,0.0009721533740987999,0.0009721533740987999,0.1,1.3250739100729953e-05,0.48337921629011105,0.04167418610751194,8.596877563334425e-06,1.0223956705801334e-05,1.347031269420445e-05,1.947282497856979e-05,2.7228486450780255e-05,1.4635458616539462e-05,1.3250739100729953e-05,8.596877563334425e-06,1.0223956705801334e-05,1.347031269420445e-05,1.947282497856979e-05,2.7228486450780255e-05,1.4635458616539462e-05,0.4866666666666667,0.5133333333333333,0.9733333333333334,146,154,0,146,0.0033333333333333335,"[{""const_opt"": 50.58743405495433, ""dens"": 379153831.1551498, ""key"": ""2015"", ""lml"": 1125.642635398955, ""lml_delta"": -1.4189708963385783e-08, ""ls_opt"": 0.3630675337696885, ""reviewed_lml"": 1125.6426354131447, ""sigma"": 0.0009721533740987999, ""state_sha256"": ""e1092c305c354145dc00de9883b29055e0eccc96cfab187dd8faad042f80ae5e""}]",tilde_q_mu,asymptotic,count_scale,sidak_approx,False,2.25,0,False,1,300,300,"{""2015"": 1125.642635398955}","{""2015"": 0.3630675337696885}","{""2015"": 50.58743405495433}","{""2015"": ""e1092c305c354145dc00de9883b29055e0eccc96cfab187dd8faad042f80ae5e""}",fixed_reviewed_max_lml,0,campaign_local_deterministic_profile_cache_v1,301,3769,3091,3769
2015,0.021,0.0010253724579645,0.0010253724579645,0.1,2.62940119494728e-05,0.005940912707633715,2.5156347292362464,7.393524365054931e-06,8.89196173614532e-06,1.1327825491373459e-05,1.6425339207182738e-05,2.0582743349535098e-05,1.227597106802222e-05,2.62940119494728e-05,7.393524365054931e-06,8.89196173614532e-06,1.1327825491373459e-05,1.6425339207182738e-05,2.0582743349535098e-05,1.227597106802222e-05,1.0,0.0,0.0,300,0,0,0,0.0033333333333333335,"[{""const_opt"": 47.96389341334741, ""dens"": 472707141.1161992, ""key"": ""2015"", ""lml"": 1120.2755873813135, ""lml_delta"": -2.2737367544323206e-13, ""ls_opt"": 0.3589892049000028, ""reviewed_lml"": 1120.2755873813137, ""sigma"": 0.0010253724579645, ""state_sha256"": ""10b61e71bf72b2ea9aa39a77a33752d65d305e476bafa628d60acf1cebcc5ba9""}]",tilde_q_mu,asymptotic,count_scale,sidak_approx,False,2.25,0,False,2,300,300,"{""2015"": 1120.2755873813135}","{""2015"": 0.3589892049000028}","{""2015"": 47.96389341334741}","{""2015"": ""10b61e71bf72b2ea9aa39a77a33752d65d305e476bafa628d60acf1cebcc5ba9""}",fixed_reviewed_max_lml,0,campaign_local_deterministic_profile_cache_v1,301,3707,3163,3707
2015,0.022,0.0010785915418301997,0.0010785915418301997,0.1,1.6849498786461963e-05,0.07704579207424724,1.4252270339921462,6.695560063928891e-06,7.84726740303183e-06,1.0117099948237964e-05,1.4297278613276253e-05,1.9058437713895016e-05,1.1004405451343696e-05,1.6849498786461963e-05,6.695560063928891e-06,7.84726740303183e-06,1.0117099948237964e-05,1.4297278613276253e-05,1.9058437713895016e-05,1.1004405451343696e-05,0.9266666666666666,0.07333333333333333,0.14666666666666667,278,22,0,22,0.0033333333333333335,"[{""const_opt"": 47.16045874135998, ""dens"": 557319166.6376408, ""key"": ""2015"", ""lml"": 1110.6608250129177, ""lml_delta"": -9.052928362507373e-08, ""ls_opt"": 0.3638062275358118, ""reviewed_lml"": 1110.660825103447, ""sigma"": 0.0010785915418301997, ""state_sha256"": ""3cf40bdb1595310c0228000bd55b8c6425bb46ef11536672b0e3f8620e3c09ff""}]",tilde_q_mu,asymptotic,count_scale,sidak_approx,False,2.25,0,False,3,300,300,"{""2015"": 1110.6608250129177}","{""2015"": 0.3638062275358118}","{""2015"": 47.16045874135998}","{""2015"": ""3cf40bdb1595310c0228000bd55b8c6425bb46ef11536672b0e3f8620e3c09ff""}",fixed_reviewed_max_lml,0,campaign_local_deterministic_profile_cache_v1,301,3776,3067,3776
2015,0.023,0.0011318106256958998,0.0011318106256958998,0.1,6.694628007588694e-06,0.5,0.0,5.741618551799702e-06,7.073076068538719e-06,9.462012619960398e-06,1.3116925307620614e-05,1.9598735534054214e-05,1.0191249405151216e-05,6.694628007588694e-06,5.741618551799702e-06,7.073076068538719e-06,9.462012619960398e-06,1.3116925307620614e-05,1.9598735534054214e-05,1.0191249405151216e-05,0.1,0.9,0.2,30,270,0,30,0.0033333333333333335,"[{""const_opt"": 46.55558049397837, ""dens"": 630016895.0561807, ""key"": ""2015"", ""lml"": 1107.0416201565347, ""lml_delta"": -1.960606823558919e-07, ""ls_opt"": 0.3502063344760394, ""reviewed_lml"": 1107.0416203525954, ""sigma"": 0.0011318106256958998, ""state_sha256"": ""1f9790410d346ff75881ec048c7061459dd27584dec811a380f4aef92bcb905f""}]",tilde_q_mu,asymptotic,count_scale,sidak_approx,False,2.25,0,False,4,300,300,"{""2015"": 1107.0416201565347}","{""2015"": 0.3502063344760394}","{""2015"": 46.55558049397837}","{""2015"": ""1f9790410d346ff75881ec048c7061459dd27584dec811a380f4aef92bcb905f""}",fixed_reviewed_max_lml,0,campaign_local_deterministic_profile_cache_v1,301,3789,3055,3789
2015,0.024,0.0011850297095615998,0.0011850297095615998,0.1,6.022729184916315e-06,0.4999311292015692,0.00017263349150062197,5.914819799797436e-06,6.933516017117488e-06,8.991461415456745e-06,1.2474330007076505e-05,1.6644507143641692e-05,9.667622584965677e-06,6.022729184916315e-06,5.914819799797436e-06,6.933516017117488e-06,8.991461415456745e-06,1.2474330007076505e-05,1.6644507143641692e-05,9.667622584965677e-06,0.03,0.97,0.06,9,291,0,9,0.0033333333333333335,"[{""const_opt"": 46.60283339865349, ""dens"": 691123382.2635775, ""key"": ""2015"", ""lml"": 1097.6890328535821, ""lml_delta"": 2.2737367544323206e-13, ""ls_opt"": 0.3484289370030476, ""reviewed_lml"": 1097.689032853582, ""sigma"": 0.0011850297095615998, ""state_sha256"": ""d1042ab0a6b2181ce628bb596c4a9a11734396eb10cd73d26e2067ca3719d160""}]",tilde_q_mu,asymptotic,count_scale,sidak_approx,False,2.25,0,False,5,300,300,"{""2015"": 1097.6890328535821}","{""2015"": 0.3484289370030476}","{""2015"": 46.60283339865349}","{""2015"": ""d1042ab0a6b2181ce628bb596c4a9a11734396eb10cd73d26e2067ca3719d160""}",fixed_reviewed_max_lml,0,campaign_local_deterministic_profile_cache_v1,301,3757,3088,3757
2015,0.025,0.0012382487934273,0.0012382487934273,0.1,7.086739843449337e-06,0.5,0.0,5.189787736755384e-06,6.08903100689116e-06,8.202193918691848e-06,1.144494960959929e-05,1.654747892263788e-05,8.917140290773762e-06,7.086739843449337e-06,5.189787736755384e-06,6.08903100689116e-06,8.202193918691848e-06,1.144494960959929e-05,1.654747892263788e-05,8.917140290773762e-06,0.32666666666666666,0.6733333333333333,0.6533333333333333,98,202,0,98,0.0033333333333333335,"[{""const_opt"": 50.580618615587305, ""dens"": 738967301.358607, ""key"": ""2015"", ""lml"": 1098.3909831440674, ""lml_delta"": -1.0215831025561783e-07, ""ls_opt"": 0.356715634971048, ""reviewed_lml"": 1098.3909832462257, ""sigma"": 0.0012382487934273, ""state_sha256"": ""508b43006dc6809282276b8fb42c5b7ed9bd5074000698589894cdac20aba907""}]",tilde_q_mu,asymptotic,count_scale,sidak_approx,False,2.25,0,False,6,300,300,"{""2015"": 1098.3909831440674}","{""2015"": 0.356715634971048}","{""2015"": 50.580618615587305}","{""2015"": ""508b43006dc6809282276b8fb42c5b7ed9bd5074000698589894cdac20aba907""}",fixed_reviewed_max_lml,0,campaign_local_deterministic_profile_cache_v1,301,3699,3134,3699
2015,0.026,0.0012914678772929999,0.0012914678772929999,0.1,8.504925358416046e-06,0.3834249127734906,0.2964979588308081,4.923670695895776e-06,5.7695757881110685e-06,7.543291254692216e-06,1.090817074610943e-05,1.447773258285814e-05,8.27516908934717e-06,8.504925358416046e-06,4.923670695895776e-06,5.7695757881110685e-06,7.543291254692216e-06,1.090817074610943e-05,1.447773258285814e-05,8.27516908934717e-06,0.6333333333333333,0.36666666666666664,0.7333333333333333,190,110,0,110,0.0033333333333333335,"[{""const_opt"": 52.900920880039315, ""dens"": 775313630.7800946, ""key"": ""2015"", ""lml"": 1088.5043977893056, ""lml_delta"": -6.077607395127416e-08, ""ls_opt"": 0.3602766417521963, ""reviewed_lml"": 1088.5043978500817, ""sigma"": 0.0012914678772929999, ""state_sha256"": ""5aaecaedb9e5a87742e9d072eae446b6e837aacb18f091d5eb0884f60394e72b""}]",tilde_q_mu,asymptotic,count_scale,sidak_approx,False,2.25,0,False,7,300,300,"{""2015"": 1088.5043977893056}","{""2015"": 0.3602766417521963}","{""2015"": 52.900920880039315}","{""2015"": ""5aaecaedb9e5a87742e9d072eae446b6e837aacb18f091d5eb0884f60394e72b""}",fixed_reviewed_max_lml,0,campaign_local_deterministic_profile_cache_v1,301,3773,3057,3773
2015,0.027,0.0013446869611586998,0.0013446869611586998,0.1,7.721166893556462e-06,0.443594697660886,0.14186151255553772,4.63474276750283e-06,5.481445486736506e-06,7.495103013593759e-06,1.0123318103008601e-05,1.3891391973902844e-05,7.8439854625188e-06,7.721166893556462e-06,4.63474276750283e-06,5.481445486736506e-06,7.495103013593759e-06,1.0123318103008601e-05,1.3891391973902844e-05,7.8439854625188e-06,0.5433333333333333,0.45666666666666667,0.9133333333333333,163,137,0,137,0.0033333333333333335,"[{""const_opt"": 50.955811007673915, ""dens"": 800922607.8622017, ""key"": ""2015"", ""lml"": 1087.073070961299, ""lml_delta"": -1.855235041148262e-07, ""ls_opt"": 0.354523458444351, ""reviewed_lml"": 1087.0730711468225, ""sigma"": 0.0013446869611586998, ""state_sha256"": ""504196692d0311568f7937c10e261523e600133d46b878ba55b1ce7dd24ed850""}]",tilde_q_mu,asymptotic,count_scale,sidak_approx,False,2.25,0,False,8,300,300,"{""2015"": 1087.073070961299}","{""2015"": 0.354523458444351}","{""2015"": 50.955811007673915}","{""2015"": ""504196692d0311568f7937c10e261523e600133d46b878ba55b1ce7dd24ed850""}",fixed_reviewed_max_lml,0,campaign_local_deterministic_profile_cache_v1,301,3796,3014,3796
2015,0.028,0.0013979060450244,0.0013979060450244,0.1,7.527736631736017e-06,0.4715599466808214,0.0713491317383426,4.618507554240286e-06,5.401057859736529e-06,7.0321752260001075e-06,1.066211489382268e-05,1.4258431675715704e-05,7.834739225717856e-06,7.527736631736017e-06,4.618507554240286e-06,5.401057859736529e-06,7.0321752260001075e-06,1.066211489382268e-05,1.4258431675715704e-05,7.834739225717856e-06,0.5666666666666667,0.43333333333333335,0.8666666666666667,170,130,0,130,0.0033333333333333335,"[{""const_opt"": 49.81984023244658, ""dens"": 816392166.0291471, ""key"": ""2015"", ""lml"": 1077.8999410759343, ""lml_delta"": 0.0, ""ls_opt"": 0.3536367860898344, ""reviewed_lml"": 1077.8999410759343, ""sigma"": 0.0013979060450244, ""state_sha256"": ""bc028c41cb84f3730368cf1626644037b73bd19525e0114d8382c5d8286a34b7""}]",tilde_q_mu,asymptotic,count_scale,sidak_approx,False,2.25,0,False,9,300,300,"{""2015"": 1077.8999410759343}","{""2015"": 0.3536367860898344}","{""2015"": 49.81984023244658}","{""2015"": ""bc028c41cb84f3730368cf1626644037b73bd19525e0114d8382c5d8286a34b7""}",fixed_reviewed_max_lml,0,campaign_local_deterministic_profile_cache_v1,301,3795,3023,3795
