scenario,background_toy_index,mass_GeV,inj_nsigma,strength,role,attempt,optimizer_seed,optimizer_restarts,fit_ok,refit_fallback_used,error,gp_lml,gp_ls,gp_const,gp_const_lo,gp_const_hi,gp_ls_lo,gp_ls_hi,gp_ls_init,gp_const_init,sigma_A,sigmaA_reference,A_hat,Zhat,pull,amplitude_nll,n_blind,integral_density,A_per_eps2_unit,optimizer_warning_count,optimizer_warnings,n_train,n_train_low,n_train_high,train_domain_lo,train_domain_hi,bin_width_median,n_zero_train,min_y_train,max_y_train,training_counts_sha256,ls_at_lower,ls_at_upper,const_at_lower,const_at_upper,covariance_valid,covariance_min_eigenvalue,covariance_min_eigenvalue_relative,signal_seed,reference_attempt_selected,reference_gp_lml,reference_gp_ls,reference_gp_const,Nsig_full,Nsig_win,Nsig_train,signal_counts_sha256
2021_1pct_x10,3,0.065,0.0,0.0,reference_bonly,0,905572315,12,True,False,,1634.5868639585276,0.41179570750392186,117.29407454627608,1e-08,1e+18,0.03533208047215282,0.4818010973475384,0.1304723539415717,1.0,5401.82551507579,5404.607237409769,-6885.352929699417,-1.2746344565338692,-1.2746344565338692,-172218550.42864862,16,1369903987.6705039,2742101740.680008,1,"ConvergenceWarning: lbfgs failed to converge (status=2):
ABNORMAL_TERMINATION_IN_LNSRCH.

Increase the number of iterations (max_iter) or scale the data as shown in:
    https://scikit-learn.org/stable/modules/preprocessing.html",400,32,368,0.04,0.3,0.0006250000000000006,0,3811.0,1025095.0,98ba4fe9c050bf769519af0c18d78b7bfe943203bd3666aa63d7dca2ef7992e5,False,False,False,False,True,-0.2535468631040437,-1.0226654845978148e-06,,,,,,,,,
2021_1pct_x10,3,0.065,0.0,0.0,reference_bonly,1,564192476,12,True,False,,1634.5868645038183,0.41179723887535796,117.30853730262783,1e-08,1e+18,0.03533208047215282,0.4818010973475384,0.1304723539415717,1.0,5401.824630384805,5404.606326165227,-6885.222179014381,-1.274610460377701,-1.274610460377701,-172218550.42866436,16,1369903987.6705039,2742101740.680008,3,"ConvergenceWarning: lbfgs failed to converge (status=2):
ABNORMAL_TERMINATION_IN_LNSRCH.

Increase the number of iterations (max_iter) or scale the data as shown in:
    https://scikit-learn.org/stable/modules/preprocessing.html | ConvergenceWarning: lbfgs failed to converge (status=2):
ABNORMAL_TERMINATION_IN_LNSRCH.

Increase the number of iterations (max_iter) or scale the data as shown in:
    https://scikit-learn.org/stable/modules/preprocessing.html | ConvergenceWarning: lbfgs failed to converge (status=2):
ABNORMAL_TERMINATION_IN_LNSRCH.

Increase the number of iterations (max_iter) or scale the data as shown in:
    https://scikit-learn.org/stable/modules/preprocessing.html",400,32,368,0.04,0.3,0.0006250000000000006,0,3811.0,1025095.0,98ba4fe9c050bf769519af0c18d78b7bfe943203bd3666aa63d7dca2ef7992e5,False,False,False,False,True,-0.1840604403803371,-7.423943487069029e-07,,,,,,,,,
2021_1pct_x10,3,0.065,0.0,0.0,reference_bonly,2,1232139162,12,True,False,,1634.5868627873372,0.41179260383440314,117.31631634832746,1e-08,1e+18,0.03533208047215282,0.4818010973475384,0.1304723539415717,1.0,5401.868932706546,5404.6505547661545,-6884.772372188189,-1.2745167381798455,-1.2745167381798455,-172218550.42873308,16,1369903987.6705039,2742101740.680008,0,,400,32,368,0.04,0.3,0.0006250000000000006,0,3811.0,1025095.0,98ba4fe9c050bf769519af0c18d78b7bfe943203bd3666aa63d7dca2ef7992e5,False,False,False,False,True,-0.24808228174971406,-1.0005889229575443e-06,,,,,,,,,
2021_1pct_x10,3,0.065,1.0,5401.824630384805,injected_refit,0,598071614,12,True,False,,1634.6100033927644,0.4117897924400853,117.15819391342443,1e-08,1e+18,0.03533208047215282,0.4818010973475384,0.1304723539415717,1.0,5402.696569337924,5401.824630384805,-1473.9666467257914,-0.27282054948098244,-1.2726591598967387,-172292288.63191676,16,1369903987.6705039,2742101740.680008,0,,400,32,368,0.04,0.3,0.0006250000000000006,0,3811.0,1025095.0,5ae3ca0007188b81314b09a5bdbf586ff64e5aed1e9357544492137e7da9c428,False,False,False,False,True,-0.23377206477422297,-9.429508747221906e-07,3093239914.0,1.0,1634.5868645038183,0.41179723887535796,117.30853730262783,5490.0,5399.0,91.0,1312920fbf7bfd68959f7949e43d5f86abab87f8712d878e1a5cf7665f0cfd32
2021_1pct_x10,3,0.065,3.0,16205.473891154414,injected_refit,0,2790236794,12,True,False,,1634.7179842399348,0.4117684849228814,116.91450803046175,1e-08,1e+18,0.03533208047215282,0.4818010973475384,0.1304723539415717,1.0,5404.5065966604625,5401.824630384805,9027.513586290539,1.6703677615767543,-1.3281434995933319,-172436815.29677713,16,1369903987.6705039,2742101740.680008,1,"ConvergenceWarning: lbfgs failed to converge (status=2):
ABNORMAL_TERMINATION_IN_LNSRCH.

Increase the number of iterations (max_iter) or scale the data as shown in:
    https://scikit-learn.org/stable/modules/preprocessing.html",400,32,368,0.04,0.3,0.0006250000000000006,0,3811.0,1025095.0,b748d076899680d09efe30b037007ba4143b5aba8162b57e7fb8eb58ba7b2622,False,False,False,False,True,-0.213082613148846,-8.595031697809286e-07,826110141.0,1.0,1634.5868645038183,0.41179723887535796,117.30853730262783,16303.0,15979.0,324.0,e6b0281c01c3eb16595bb438db86ac1bd0252637f0fb2c8d8773cf661bc7dd4b
2021_1pct_x10,3,0.065,5.0,27009.123151924025,injected_refit,0,1557855527,12,True,False,,1634.7611824767685,0.4117814836350612,116.698676189575,1e-08,1e+18,0.03533208047215282,0.4818010973475384,0.1304723539415717,1.0,5406.078866612192,5401.824630384805,19552.65179262447,3.6167899646046897,-1.3792753571078171,-172579258.13055187,16,1369903987.6705039,2742101740.680008,1,"ConvergenceWarning: lbfgs failed to converge (status=2):
ABNORMAL_TERMINATION_IN_LNSRCH.

Increase the number of iterations (max_iter) or scale the data as shown in:
    https://scikit-learn.org/stable/modules/preprocessing.html",400,32,368,0.04,0.3,0.0006250000000000006,0,3811.0,1025095.0,d908001ca8b4f0508558fa232f8ba9fe74cb1e6cdc3897dee55f5e23367dd8bb,False,False,False,False,True,-0.24906539840552797,-1.004855081978652e-06,900341841.0,1.0,1634.5868645038183,0.41179723887535796,117.30853730262783,26870.0,26408.0,462.0,1a1caca79d99f5a92dacb82d81debce548fdec3328dd517189f8df01c3fb5280
2021_1pct_x10,3,0.09,0.0,0.0,reference_bonly,0,2326354728,12,True,False,,1623.0559598253553,0.39802022814265037,94.0928337739165,1e-08,1e+18,0.02918815006379436,0.39802022814265037,0.10778438730842861,1.0,5255.214381482776,5256.385072515949,-3141.248925063181,-0.5977394444899634,-0.5977394444899634,-217721381.25180465,18,1518822101.549189,4209490130.844373,2,"ConvergenceWarning: lbfgs failed to converge (status=2):
ABNORMAL_TERMINATION_IN_LNSRCH.

Increase the number of iterations (max_iter) or scale the data as shown in:
    https://scikit-learn.org/stable/modules/preprocessing.html | ConvergenceWarning: The optimal value found for dimension 0 of parameter k2__length_scale is close to the specified upper bound 0.39802022814265037. Increasing the bound and calling fit again may find a better value.",398,71,327,0.04,0.3,0.0006250000000000006,0,3811.0,1025095.0,2c0489e1b04b86dde1ef92bbfe882cec4a4224e1c0ccc594f291e2740eff0bf8,False,True,False,False,True,-0.3360831936394612,-2.721915679299336e-06,,,,,,,,,
2021_1pct_x10,3,0.09,0.0,0.0,reference_bonly,1,4047913199,12,True,False,,1623.0559591494257,0.39802022814265037,94.06460334721724,1e-08,1e+18,0.02918815006379436,0.39802022814265037,0.10778438730842861,1.0,5255.193033470463,5256.363807420544,-3141.6988023005297,-0.5978274788939183,-0.5978274788939183,-217721381.2516964,18,1518822101.549189,4209490130.844373,2,"ConvergenceWarning: lbfgs failed to converge (status=2):
ABNORMAL_TERMINATION_IN_LNSRCH.

Increase the number of iterations (max_iter) or scale the data as shown in:
    https://scikit-learn.org/stable/modules/preprocessing.html | ConvergenceWarning: The optimal value found for dimension 0 of parameter k2__length_scale is close to the specified upper bound 0.39802022814265037. Increasing the bound and calling fit again may find a better value.",398,71,327,0.04,0.3,0.0006250000000000006,0,3811.0,1025095.0,2c0489e1b04b86dde1ef92bbfe882cec4a4224e1c0ccc594f291e2740eff0bf8,False,True,False,False,True,-0.34356028064252564,-2.7825261346501094e-06,,,,,,,,,
2021_1pct_x10,3,0.09,0.0,0.0,reference_bonly,2,4056829061,12,True,False,,1623.0559593972653,0.39802022814265037,94.09086957770249,1e-08,1e+18,0.02918815006379436,0.39802022814265037,0.10778438730842861,1.0,5255.21267840414,5256.383375065795,-3141.280780555596,-0.5977456998961104,-0.5977456998961104,-217721381.2517991,18,1518822101.549189,4209490130.844373,1,ConvergenceWarning: The optimal value found for dimension 0 of parameter k2__length_scale is close to the specified upper bound 0.39802022814265037. Increasing the bound and calling fit again may find a better value.,398,71,327,0.04,0.3,0.0006250000000000006,0,3811.0,1025095.0,2c0489e1b04b86dde1ef92bbfe882cec4a4224e1c0ccc594f291e2740eff0bf8,False,True,False,False,True,-0.35982743951235463,-2.914221573223974e-06,,,,,,,,,
2021_1pct_x10,3,0.09,1.0,5255.214381482776,injected_refit,0,1543382520,12,True,False,,1623.0892216357079,0.39802022814265037,93.94482866304395,1e-08,1e+18,0.02918815006379436,0.39802022814265037,0.10778438730842861,1.0,5255.880756851766,5255.214381482776,1981.16471940266,0.3769424785408113,-0.6229307348367712,-217790968.35607618,18,1518822101.549189,4209490130.844373,2,"ConvergenceWarning: lbfgs failed to converge (status=2):
ABNORMAL_TERMINATION_IN_LNSRCH.

Increase the number of iterations (max_iter) or scale the data as shown in:
    https://scikit-learn.org/stable/modules/preprocessing.html | ConvergenceWarning: The optimal value found for dimension 0 of parameter k2__length_scale is close to the specified upper bound 0.39802022814265037. Increasing the bound and calling fit again may find a better value.",398,71,327,0.04,0.3,0.0006250000000000006,0,3811.0,1025095.0,e57d4f6a3c76d8c6c5e75fbe80717a0a9efa69b5bf3b2c398ff38cd39e5b8922,False,True,False,False,True,-0.3845485231026642,-3.114702301344409e-06,1117443159.0,0.0,1623.0559598253553,0.39802022814265037,94.0928337739165,5184.0,5056.0,128.0,062aeb150318e1da3d346f0f4ea07f308991f1547f04bbcf5d8010042b4f9079
2021_1pct_x10,3,0.09,1.0,5255.214381482776,injected_refit,1,2022188083,12,True,False,,1623.0892220941328,0.39802022814265037,93.9225336043062,1e-08,1e+18,0.02918815006379436,0.39802022814265037,0.10778438730842861,1.0,5255.864385543437,5255.214381482776,1980.8087927198485,0.37687593275202824,-0.62300039509569,-217790968.35598892,18,1518822101.549189,4209490130.844373,1,ConvergenceWarning: The optimal value found for dimension 0 of parameter k2__length_scale is close to the specified upper bound 0.39802022814265037. Increasing the bound and calling fit again may find a better value.,398,71,327,0.04,0.3,0.0006250000000000006,0,3811.0,1025095.0,e57d4f6a3c76d8c6c5e75fbe80717a0a9efa69b5bf3b2c398ff38cd39e5b8922,False,True,False,False,True,-0.30434400430821373,-2.4651120705969404e-06,1117443159.0,0.0,1623.0559598253553,0.39802022814265037,94.0928337739165,5184.0,5056.0,128.0,062aeb150318e1da3d346f0f4ea07f308991f1547f04bbcf5d8010042b4f9079
2021_1pct_x10,3,0.09,1.0,5255.214381482776,injected_refit,2,2690270868,12,True,False,,1623.0892211695427,0.39802022814265037,93.9241376446891,1e-08,1e+18,0.02918815006379436,0.39802022814265037,0.10778438730842861,1.0,5255.865642532251,5255.214381482776,1980.8337086922315,0.3768805832216585,-0.6229955054964007,-217790968.3559939,18,1518822101.549189,4209490130.844373,1,ConvergenceWarning: The optimal value found for dimension 0 of parameter k2__length_scale is close to the specified upper bound 0.39802022814265037. Increasing the bound and calling fit again may find a better value.,398,71,327,0.04,0.3,0.0006250000000000006,0,3811.0,1025095.0,e57d4f6a3c76d8c6c5e75fbe80717a0a9efa69b5bf3b2c398ff38cd39e5b8922,False,True,False,False,True,-0.3548073119268108,-2.8738500691102775e-06,1117443159.0,0.0,1623.0559598253553,0.39802022814265037,94.0928337739165,5184.0,5056.0,128.0,062aeb150318e1da3d346f0f4ea07f308991f1547f04bbcf5d8010042b4f9079
2021_1pct_x10,3,0.09,3.0,15765.643144448328,injected_refit,0,3308151336,12,True,False,,1623.1510833568937,0.39802022814265037,93.68195864478213,1e-08,1e+18,0.02918815006379436,0.39802022814265037,0.10778438730842861,1.0,5257.31340834894,5255.214381482776,12846.007140318352,2.4434546968263477,-0.55534752778737,-217937766.23766756,18,1518822101.549189,4209490130.844373,2,"ConvergenceWarning: lbfgs failed to converge (status=2):
ABNORMAL_TERMINATION_IN_LNSRCH.

Increase the number of iterations (max_iter) or scale the data as shown in:
    https://scikit-learn.org/stable/modules/preprocessing.html | ConvergenceWarning: The optimal value found for dimension 0 of parameter k2__length_scale is close to the specified upper bound 0.39802022814265037. Increasing the bound and calling fit again may find a better value.",398,71,327,0.04,0.3,0.0006250000000000006,0,3811.0,1025095.0,ed60b6c1b12321b05856acb6ca85a8a10d37d64d6a7cebd27200065bc99167ed,False,True,False,False,True,-0.376190001814473,-3.047488080476561e-06,3501583516.0,0.0,1623.0559598253553,0.39802022814265037,94.0928337739165,16021.0,15721.0,300.0,3cdbb7523bdfc196fb1da5172a543cc13fc08c2b81c9d658cbbf357caaa6a626
